Chromosome	Midpoint	GenesPerMb	DNATEsPerMb	RNATEsPerMb
10	9000001.0	20.0	28.0	59.0
10	9500001.0	15.0	31.0	63.0
10	10000001.0	22.0	37.0	68.0
10	10500001.0	32.0	34.0	66.0
10	11000001.0	25.0	36.0	58.0
10	11500001.0	16.0	34.0	63.0
10	12000001.0	16.0	32.0	74.0
10	12500001.0	17.0	32.0	71.0
10	13000001.0	15.0	36.0	69.0
10	13500001.0	19.0	40.0	68.0
10	14000001.0	17.0	32.0	70.0
10	14500001.0	9.0	21.0	64.0
10	15000001.0	12.0	19.0	62.0
10	15500001.0	14.0	29.0	67.0
10	16000001.0	18.0	25.0	74.0
10	16500001.0	20.0	19.0	79.0
10	17000001.0	16.0	23.0	65.0
10	17500001.0	10.0	22.0	65.0
10	18000001.0	15.0	29.0	60.0
10	18500001.0	19.0	35.0	54.0
10	19000001.0	15.0	23.0	62.0
10	19500001.0	15.0	21.0	65.0
10	20000001.0	11.0	33.0	68.0
10	20500001.0	6.0	31.0	65.0
10	21000001.0	5.0	26.0	66.0
10	21500001.0	3.0	27.0	69.0
10	22000001.0	7.0	38.0	69.0
10	22500001.0	11.0	32.0	69.0
10	23000001.0	12.0	27.0	68.0
10	23500001.0	18.0	33.0	70.0
10	24000001.0	15.0	29.0	72.0
10	24500001.0	5.0	34.0	69.0
10	25000001.0	10.0	35.0	62.0
10	25500001.0	17.0	32.0	57.0
10	26000001.0	19.0	27.0	69.0
10	26500001.0	15.0	21.0	73.0
10	27000001.0	13.0	30.0	64.0
10	27500001.0	14.0	30.0	63.0
10	28000001.0	12.0	22.0	62.0
10	28500001.0	10.0	24.0	64.0
10	29000001.0	6.0	33.0	68.0
10	29500001.0	5.0	30.0	70.0
10	30000001.0	6.0	24.0	71.0
10	30500001.0	8.0	29.0	71.0
10	31000001.0	8.0	21.0	70.0
10	31500001.0	7.0	22.0	69.0
10	32000001.0	6.0	27.0	68.0
10	32500001.0	6.0	23.0	65.0
10	33000001.0	6.0	22.0	73.0
10	33500001.0	5.0	18.0	78.0
10	34000001.0	6.0	20.0	72.0
10	34500001.0	8.0	23.0	67.0
10	35000001.0	8.0	24.0	65.0
10	35500001.0	10.0	25.0	62.0
10	36000001.0	7.0	26.0	63.0
10	36500001.0	6.0	25.0	63.0
10	37000001.0	10.0	25.0	68.0
10	37500001.0	7.0	34.0	73.0
