Prop_Genes	Prop_Tandem	Prop_RNATE	Prop_DNATE	Subgenome
0.048881	0.001304	0.703036	0.214821	Nonsyntenic
0.008621	0.0	0.795355	0.165728	Maize1
0.065677	0.008179	0.699624	0.234261	Maize1
0.083987	0.007046	0.805426	0.225376	Maize1
0.015881	0.0	0.622708	0.139992	Maize1
0.097716	0.0	0.727406	0.269129	Maize1
0.045494	0.001332	0.750091	0.161394	Maize1
0.047247	0.002126	0.667389	0.237405	Maize1
0.051738	0.010401	0.669609	0.218758	Maize1
0.053894	0.0	0.735759	0.161787	Maize1
0.066111	0.000219	0.711356	0.128694	Nonsyntenic
0.016026	0.000774	0.762297	0.122867	Nonsyntenic
0.036304	0.000538	0.752367	0.163105	Nonsyntenic
0.019285	0.0	0.757652	0.164438	Nonsyntenic
0.018757	0.0	0.672642	0.190595	Nonsyntenic
0.00161	0.0	0.762839	0.193274	Nonsyntenic
0.074914	0.0	0.648872	0.148118	Nonsyntenic
0.003012	0.0	0.762751	0.208113	Nonsyntenic
0.060577	0.0	0.708561	0.141379	Nonsyntenic
0.00753	0.0	0.750266	0.174749	Maize2
0.075826	0.0	0.677602	0.151062	Maize2
0.049651	0.014736	0.71216	0.16609	Maize2
0.013943	0.010851	0.741295	0.204616	Maize2
0.013903	0.001519	0.667105	0.159074	Maize2
0.101799	0.0	0.560186	0.266205	Nonsyntenic
0.022989	0.00408	0.673997	0.165813	Maize2
0.032509	0.002325	0.654906	0.159132	Maize2
0.038928	0.0	0.665644	0.260486	Maize2
0.018616	0.001638	0.744818	0.13886	Maize2
0.013508	0.004189	0.696057	0.152277	Maize2
0.056899	0.019017	0.728845	0.189113	Maize2
0.042828	0.002063	0.734466	0.188262	Maize2
0.060326	0.001653	0.698547	0.183663	Maize2
0.028614	0.001364	0.676066	0.179949	Maize2
0.014317	0.001167	0.657231	0.132024	Maize2
0.011025	0.00605	0.75503	0.176824	Maize2
0.019529	0.0	0.659722	0.180768	Maize2
0.091628	0.0	0.599532	0.1625	Maize2
0.012544	0.002143	0.623003	0.17109	Maize2
0.033994	0.0	0.632503	0.258503	Maize2
0.073317	0.0	0.73852	0.184043	Maize2
0.045319	0.000786	0.640077	0.155029	Maize2
0.068036	0.000429	0.552763	0.184384	Maize2
0.039485	0.007014	0.729345	0.175838	Maize2
0.048324	0.005381	0.800527	0.109067	Maize2
0.208549	0.046686	0.681408	0.263174	Maize2
0.032078	0.0	0.700796	0.170787	Maize2
0.035096	0.004197	0.75291	0.214786	Maize2
0.075937	0.0	0.595678	0.207199	Maize2
0.050183	0.003724	0.657307	0.209968	Maize2
0.081599	0.0	0.673773	0.151056	Nonsyntenic
0.070776	0.0	0.69587	0.167355	Nonsyntenic
0.098349	0.0	0.600647	0.126765	Nonsyntenic
0.084124	0.0	0.719757	0.198972	Maize2
0.096062	0.0	0.682939	0.194854	Maize2
0.05837	0.006741	0.696957	0.231188	Maize2
0.02819	0.0	0.71314	0.283541	Maize2
0.053458	0.0	0.699971	0.176031	Maize2
0.095254	0.0	0.694041	0.189476	Nonsyntenic
0.040812	0.000579	0.701045	0.188928	Nonsyntenic
0.071286	0.001917	0.629951	0.141761	Maize2
0.04361	0.0	0.631004	0.155418	Maize2
0.097945	0.0	0.571157	0.13395	Maize2
0.058985	0.007018	0.683503	0.222105	Maize2
0.084	0.003836	0.645971	0.213131	Maize2
0.088326	0.007107	0.657494	0.290293	Maize2
0.077875	0.0	0.658531	0.17802	Maize2
0.085874	0.001659	0.648269	0.245368	Maize2
0.060862	0.0	0.689019	0.147277	Nonsyntenic
0.090006	0.0	0.745165	0.29068	Maize2
0.121889	0.00279	0.61803	0.141503	Maize2
0.031021	0.0	0.660287	0.158918	Maize2
0.087553	0.0	0.69972	0.248507	Maize2
0.07516	0.0	0.680872	0.178522	Maize2
0.054987	0.0	0.692088	0.214386	Maize2
0.079489	0.016655	0.664185	0.236437	Maize2
0.057149	0.005923	0.55961	0.216931	Maize2
0.04516	0.0	0.633772	0.187251	Maize2
0.041704	0.0	0.607177	0.143891	Nonsyntenic
0.060221	0.0	0.682636	0.170741	Maize2
0.082034	0.014836	0.707571	0.277071	Maize2
0.127771	0.01022	0.652551	0.172156	Maize2
0.098718	0.001359	0.665591	0.306549	Maize2
0.059949	0.001884	0.646465	0.196671	Maize2
0.085154	0.003129	0.621644	0.158843	Maize2
0.099569	0.009105	0.642825	0.190515	Maize2
0.112571	0.005142	0.708754	0.199473	Maize2
0.088972	0.001201	0.665341	0.228786	Maize2
0.081293	0.0	0.667899	0.133814	Maize2
0.108479	0.0	0.729803	0.231032	Maize2
0.092256	0.0	0.673626	0.213517	Maize2
0.109385	0.028381	0.647722	0.168337	Maize2
0.100213	0.001488	0.710339	0.153703	Maize2
0.084336	0.005984	0.692126	0.206421	Maize2
0.170002	0.007132	0.692263	0.106421	Maize2
0.079637	0.012536	0.748556	0.134996	Maize2
0.195306	0.052488	0.627181	0.221358	Maize2
0.114978	0.013277	0.580816	0.181999	Maize2
0.178489	0.0	0.666797	0.24755	Maize2
0.130533	0.0	0.706932	0.092976	Maize2
0.153625	0.004423	0.587275	0.268809	Maize2
0.154913	0.008545	0.718069	0.205345	Maize2
0.179872	0.019405	0.618706	0.217115	Maize2
0.126903	0.0	0.560313	0.192352	Maize2
0.100576	0.0	0.58171	0.144257	Maize2
0.109331	0.0	0.694547	0.235332	Maize2
0.123072	0.02024	0.669686	0.206622	Maize2
0.113018	0.0063	0.615929	0.249663	Maize2
0.225451	0.027059	0.551371	0.171564	Maize2
0.134121	0.0	0.469651	0.250581	Maize2
0.138618	0.0	0.530334	0.179364	Maize2
0.127498	0.01537	0.590725	0.164477	Maize2
0.187579	0.003426	0.620827	0.209468	Maize2
0.130898	0.0	0.653038	0.18218	Maize2
0.140705	0.004846	0.663846	0.196843	Maize2
0.154505	0.005752	0.628161	0.311622	Maize2
0.148655	0.0	0.64826	0.23794	Maize2
0.110374	0.002103	0.515999	0.187369	Maize2
0.078207	0.00231	0.514637	0.164693	Maize2
0.049589	0.0	0.309017	0.102679	Nonsyntenic
0.059587	0.002583	0.48931	0.145994	Maize2
0.089226	0.007433	0.472391	0.207354	Maize2
0.135445	0.005117	0.518224	0.181062	Maize2
0.129091	0.011377	0.562416	0.283946	Maize2
0.095459	0.021041	0.51449	0.150231	Maize2
0.0878	0.006336	0.636662	0.243644	Maize2
0.084993	0.023575	0.625691	0.162077	Nonsyntenic
0.097581	0.00453	0.445425	0.180762	Maize2
0.124113	0.031608	0.492324	0.099518	Maize2
0.150887	0.028787	0.616472	0.25925	Maize2
0.087534	0.026812	0.62054	0.162819	Nonsyntenic
0.173705	0.020033	0.600344	0.17433	Maize2
0.12836	0.02043	0.641528	0.252642	Maize2
0.106489	0.0	0.707942	0.145385	Maize2
