Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
3:3000000-4000000	42	5	64	34	maize1
3:4000000-5000000	27	0	54	32	Nonsyntenic
3:5000000-6000000	27	0	62	30	maize1
3:6000000-7000000	20	2	54	40	maize1
3:7000000-8000000	32	0	61	29	maize1
3:8000000-9000000	40	9	56	43	maize1
3:9000000-10000000	32	2	57	43	maize1
3:10000000-11000000	16	1	61	30	maize1
3:11000000-12000000	26	2	68	32	maize1
3:12000000-13000000	27	4	69	34	maize1
3:13000000-14000000	25	4	67	33	maize1
3:14000000-15000000	31	0	59	31	maize1
3:15000000-16000000	26	11	59	35	maize1
3:16000000-17000000	25	3	60	31	maize1
3:17000000-18000000	22	0	67	46	maize1
3:18000000-19000000	14	2	65	27	maize1
3:19000000-20000000	29	15	70	32	maize1
3:20000000-21000000	17	8	67	30	maize1
3:21000000-22000000	18	2	64	29	maize1
3:22000000-23000000	16	0	68	35	maize1
3:23000000-24000000	15	5	66	33	maize1
3:24000000-25000000	14	0	67	30	maize1
3:25000000-26000000	15	7	68	38	maize1
3:26000000-27000000	6	0	63	27	maize1
3:27000000-28000000	18	2	69	48	maize1
3:28000000-29000000	17	0	64	20	maize1
3:29000000-30000000	23	4	65	35	maize1
3:30000000-31000000	8	0	68	28	maize1
3:31000000-32000000	15	0	66	27	maize1
3:32000000-33000000	19	3	80	27	maize1
3:33000000-34000000	18	2	60	27	maize1
3:34000000-35000000	9	2	58	29	maize1
3:35000000-36000000	19	0	59	36	maize1
3:36000000-37000000	17	4	77	38	maize1
3:37000000-38000000	13	0	67	30	Nonsyntenic
3:38000000-39000000	13	0	73	32	Nonsyntenic
3:39000000-40000000	11	0	67	20	maize1
3:40000000-41000000	25	0	69	23	Nonsyntenic
3:41000000-42000000	14	0	65	38	maize1
3:42000000-43000000	11	2	72	23	Nonsyntenic
3:43000000-44000000	17	1	70	27	maize1
3:44000000-45000000	12	0	54	22	maize1
